date,sales,qty,product,category,region,profit
2023-01-01,19034.0,4,Mouse Wireless,Acessórios,Sudeste,5386.59
2023-01-01,3024.57,1,Webcam HD,Eletrônicos,Sudeste,639.57
2023-01-01,1153.83,3,Webcam HD,Eletrônicos,Sudeste,365.24
2023-01-01,3200.19,4,Smart Monitor 27,Eletrônicos,Sul,840.76
2023-01-01,4852.56,1,Webcam HD,Eletrônicos,Sul,1495.12
2023-01-01,207.63,2,Cadeira Gamer,Home Office,Nordeste,72.27
2023-01-01,1590.79,1,Mouse Wireless,Acessórios,Centro-Oeste,367.77
2023-01-01,852.02,4,Mouse Wireless,Acessórios,Sudeste,196.98
2023-01-01,2350.56,3,Teclado Mecânico,Acessórios,Centro-Oeste,406.73
2023-01-01,4962.32,4,Webcam HD,Eletrônicos,Centro-Oeste,608.64
2023-01-01,2156.8,2,Cadeira Gamer,Home Office,Sul,492.96
2023-01-02,12941.12,3,Mouse Wireless,Acessórios,Sudeste,3495.1
2023-01-02,418.75,1,Mouse Wireless,Acessórios,Sudeste,141.21
2023-01-02,11440.45,4,Mesa Escritório,Home Office,Centro-Oeste,2246.38
2023-01-02,1157.19,2,Mesa Escritório,Home Office,Centro-Oeste,313.67
2023-01-02,10343.97,3,Headset Pro,Eletrônicos,Centro-Oeste,2611.84
2023-01-02,1074.02,4,Mesa Escritório,Home Office,Centro-Oeste,351.56
2023-01-02,3971.83,4,Teclado Mecânico,Acessórios,Sudeste,1147.22
2023-01-02,5296.67,2,Webcam HD,Eletrônicos,Sudeste,1253.6
2023-01-02,506.87,2,Cadeira Gamer,Home Office,Nordeste,157.42
2023-01-02,18814.18,4,Cadeira Gamer,Home Office,Norte,6090.28
2023-01-02,7327.27,2,Notebook Pro X,Eletrônicos,Norte,1330.89
2023-01-02,2120.63,2,Notebook Pro X,Eletrônicos,Nordeste,236.04
2023-01-02,16952.86,4,Mesa Escritório,Home Office,Nordeste,4862.59
2023-01-03,7392.37,4,Mouse Wireless,Acessórios,Norte,1258.43
2023-01-03,5809.58,4,Teclado Mecânico,Acessórios,Sul,1011.26
2023-01-03,465.3,1,Notebook Pro X,Eletrônicos,Centro-Oeste,161.33
2023-01-03,8139.68,4,Cadeira Gamer,Home Office,Sudeste,1411.19
2023-01-03,12287.28,3,Mouse Wireless,Acessórios,Norte,3400.07
2023-01-03,11915.58,3,Webcam HD,Eletrônicos,Nordeste,2996.65
2023-01-03,3712.96,2,Headset Pro,Eletrônicos,Nordeste,478.85
2023-01-03,12795.57,3,Mouse Wireless,Acessórios,Sul,2717.3
2023-01-03,411.44,1,Smart Monitor 27,Eletrônicos,Sudeste,73.13
2023-01-04,3675.07,1,Headset Pro,Eletrônicos,Norte,953.27
2023-01-04,8550.28,3,Teclado Mecânico,Acessórios,Sudeste,1673.56
2023-01-04,10784.7,3,Mesa Escritório,Home Office,Norte,3129.68
2023-01-04,2512.65,2,Cadeira Gamer,Home Office,Sudeste,412.12
2023-01-04,7984.17,3,Webcam HD,Eletrônicos,Sul,1651.81
2023-01-04,4505.5,2,Cadeira Gamer,Home Office,Norte,677.76
2023-01-04,12873.64,4,Cadeira Gamer,Home Office,Sul,2299.09
2023-01-04,14032.12,4,Mesa Escritório,Home Office,Nordeste,1891.99
2023-01-04,6332.63,3,Teclado Mecânico,Acessórios,Sul,1829.42
2023-01-04,18879.93,4,Teclado Mecânico,Acessórios,Sul,4714.63
2023-01-04,2669.95,3,Cadeira Gamer,Home Office,Nordeste,887.56
2023-01-04,1548.61,1,Notebook Pro X,Eletrônicos,Sudeste,195.7
2023-01-05,8856.15,2,Mouse Wireless,Acessórios,Sul,1603.73
2023-01-05,13472.54,3,Webcam HD,Eletrônicos,Nordeste,2418.33
2023-01-05,1433.45,1,Mouse Wireless,Acessórios,Norte,375.45
2023-01-05,4108.27,1,Headset Pro,Eletrônicos,Sul,1294.86
2023-01-05,2720.44,3,Mouse Wireless,Acessórios,Nordeste,635.28
